job_title,Industry,experience_level,Age,employment_type,work_year, salary_in_usd ,company_location,company_size
Data Engineer,IT,Senior-level,46,Full-time,2022," $2,43,900.00 ",United States,Medium
Data Engineer,IT,Senior-level,40,Full-time,2023," $2,43,600.00 ",United States,Medium
Data Science Manager,IT,Senior-level,40,Full-time,2022," $2,43,225.00 ",United States,Medium
Data Engineer,IT,Senior-level,59,Full-time,2023," $2,43,000.00 ",Canada,Medium
Data Engineer,IT,Mid-level,51,Full-time,2023," $2,43,000.00 ",Canada,Medium
ML Engineer,IT,Senior-level,24,Full-time,2022," $2,43,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,59,Full-time,2023," $2,42,921.00 ",United States,Medium
Data Analytics Manager,IT,Mid-level,34,Full-time,2023," $2,42,100.00 ",United States,Medium
Data Scientist,IT,Senior-level,43,Full-time,2024," $2,42,000.00 ",United States,Medium
Data Strategist,IT,Senior-level,42,Full-time,2023," $2,42,000.00 ",United States,Medium
AI Engineer,IT,Senior-level,35,Full-time,2023," $2,42,000.00 ",United States,Medium
Data Scientist,IT,Mid-level,26,Full-time,2023," $2,42,000.00 ",United States,Medium
Data Engineer,IT,Mid-level,36,Full-time,2023," $2,42,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,33,Full-time,2023," $2,42,000.00 ",Canada,Medium
Data Scientist,IT,Senior-level,19,Full-time,2023," $2,42,000.00 ",Australia,Medium
Data Engineer,IT,Executive-level,28,Full-time,2022," $2,42,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,60,Full-time,2023," $2,41,871.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,21,Full-time,2023," $2,41,300.00 ",United States,Medium
Business Intelligence Engineer,IT,Senior-level,31,Full-time,2023," $2,41,300.00 ",United States,Large
Data Engineer,IT,Senior-level,64,Full-time,2023," $2,41,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,31,Full-time,2023," $2,41,000.00 ",United States,Medium
Data Science Manager,IT,Mid-level,64,Full-time,2022," $2,41,000.00 ",United States,Medium
Research Engineer,IT,Mid-level,63,Full-time,2024," $2,40,960.00 ",United States,Medium
Research Engineer,IT,Senior-level,61,Full-time,2024," $2,40,960.00 ",United States,Medium
Research Engineer,IT,Senior-level,32,Full-time,2023," $2,40,960.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,54,Full-time,2023," $2,40,810.00 ",United States,Medium
Data Engineer,IT,Senior-level,58,Full-time,2023," $2,40,500.00 ",United States,Large
Data Analyst,IT,Senior-level,33,Full-time,2023," $2,40,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,49,Full-time,2023," $2,40,350.00 ",United States,Medium
Data Scientist,IT,Senior-level,34,Full-time,2024," $2,40,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,18,Full-time,2024," $2,40,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,59,Full-time,2023," $2,40,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,50,Full-time,2023," $2,40,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,20,Full-time,2023," $2,40,000.00 ",United States,Medium
Data Engineer,IT,Mid-level,20,Full-time,2023," $2,40,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,35,Full-time,2023," $2,40,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,42,Full-time,2023," $2,40,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,51,Full-time,2023," $2,40,000.00 ",United States,Medium
Data Integration Specialist,IT,Entry-level,35,Full-time,2023," $2,40,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,33,Full-time,2023," $2,40,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,34,Full-time,2023," $2,40,000.00 ",United States,Medium
AI Engineer,IT,Senior-level,40,Full-time,2023," $2,40,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,56,Full-time,2023," $2,40,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,21,Full-time,2023," $2,40,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,25,Full-time,2023," $2,40,000.00 ",United States,Medium
Data Operations Engineer,IT,Senior-level,61,Full-time,2023," $2,40,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,33,Full-time,2023," $2,40,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,18,Full-time,2023," $2,40,000.00 ",United States,Small
Data Architect,IT,Mid-level,38,Full-time,2023," $2,40,000.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,40,Full-time,2023," $2,40,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,18,Full-time,2023," $2,40,000.00 ",Ukraine,Medium
Machine Learning Engineer,IT,Senior-level,41,Full-time,2023," $2,40,000.00 ",United Kingdom,Medium
Data Engineer,IT,Senior-level,27,Full-time,2022," $2,40,000.00 ",United States,Medium
Research Engineer,IT,Mid-level,59,Full-time,2022," $2,40,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,47,Full-time,2022," $2,40,000.00 ",United States,Medium
Data Science Manager,IT,Senior-level,37,Full-time,2021," $2,40,000.00 ",United States,Large
Data Scientist,IT,Senior-level,24,Full-time,2023," $2,39,900.00 ",United States,Medium
Data Scientist,IT,Senior-level,64,Full-time,2023," $2,39,748.00 ",United States,Medium
AI Engineer,IT,Senior-level,42,Full-time,2023," $2,39,400.00 ",United States,Medium
Data Scientist,IT,Senior-level,23,Full-time,2023," $2,39,080.00 ",United States,Medium
Data Architect,IT,Senior-level,56,Full-time,2023," $2,39,000.00 ",United States,Large
Data Scientist,IT,Senior-level,52,Full-time,2023," $2,39,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,45,Full-time,2023," $2,39,000.00 ",United States,Large
Data Engineer,IT,Executive-level,37,Full-time,2023," $2,39,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,34,Full-time,2023," $2,39,000.00 ",Canada,Medium
Data Engineer,IT,Executive-level,37,Full-time,2022," $2,39,000.00 ",United States,Medium
Data Operations Engineer,IT,Senior-level,22,Full-time,2023," $2,38,530.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,57,Full-time,2023," $2,38,000.00 ",United States,Medium
Research Scientist,IT,Mid-level,22,Full-time,2023," $2,38,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,39,Full-time,2023," $2,38,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,56,Full-time,2023," $2,38,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,55,Full-time,2023," $2,38,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,58,Full-time,2023," $2,38,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,24,Full-time,2023," $2,38,000.00 ",Canada,Medium
Director of Data Science,IT,Executive-level,64,Full-time,2023," $2,37,500.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,25,Full-time,2023," $2,37,400.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,33,Full-time,2023," $2,37,400.00 ",United Kingdom,Medium
Data Science,IT,Senior-level,51,Full-time,2024," $2,37,200.00 ",United States,Medium
Data Science Manager,IT,Mid-level,36,Full-time,2024," $2,37,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,38,Full-time,2023," $2,37,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,52,Full-time,2023," $2,37,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,39,Full-time,2023," $2,37,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,65,Full-time,2023," $2,37,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,51,Full-time,2022," $2,36,900.00 ",United States,Large
Data Analyst,IT,Senior-level,44,Full-time,2022," $2,36,600.00 ",United States,Medium
Data Scientist,IT,Senior-level,62,Full-time,2023," $2,36,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,54,Full-time,2023," $2,36,160.00 ",United States,Medium
Data Engineer,IT,Executive-level,29,Full-time,2023," $2,36,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,41,Full-time,2023," $2,36,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,63,Full-time,2022," $2,36,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,65,Full-time,2023," $2,35,750.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,22,Full-time,2023," $2,35,400.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,39,Full-time,2023," $2,35,400.00 ",United States,Medium
Computer Vision Engineer,IT,Senior-level,26,Full-time,2024," $2,35,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,23,Full-time,2024," $2,35,000.00 ",Canada,Medium
Research Scientist,IT,Senior-level,61,Full-time,2023," $2,35,000.00 ",United States,Medium
Data Science,IT,Mid-level,48,Full-time,2023," $2,35,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,19,Full-time,2023," $2,35,000.00 ",United States,Medium
Machine Learning Infrastructure Engineer,IT,Senior-level,22,Full-time,2023," $2,35,000.00 ",United States,Medium
ML Engineer,IT,Mid-level,31,Full-time,2023," $2,35,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,55,Full-time,2023," $2,35,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,40,Full-time,2023," $2,35,000.00 ",United States,Medium
NLP Engineer,IT,Senior-level,34,Full-time,2023," $2,35,000.00 ",United States,Medium
Computer Vision Engineer,IT,Senior-level,42,Full-time,2023," $2,35,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,45,Full-time,2022," $2,35,000.00 ",United States,Medium
Data Architect,IT,Senior-level,32,Full-time,2022," $2,35,000.00 ",United States,Medium
Head of Data,IT,Executive-level,27,Full-time,2021," $2,35,000.00 ",United States,Large
Principal Data Scientist,IT,Senior-level,56,Full-time,2021," $2,35,000.00 ",United States,Large
Data Science Manager,IT,Senior-level,58,Full-time,2023," $2,34,900.00 ",United States,Medium
Data Architect,IT,Senior-level,58,Full-time,2023," $2,34,900.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,33,Full-time,2024," $2,34,700.00 ",United States,Medium
Research Scientist,IT,Senior-level,47,Full-time,2023," $2,34,700.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,46,Full-time,2023," $2,34,500.00 ",United States,Medium
Data Analyst,IT,Senior-level,43,Full-time,2023," $2,34,485.00 ",United States,Medium
BI Analyst,IT,Senior-level,37,Full-time,2023," $2,34,485.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,39,Full-time,2024," $2,34,200.00 ",United States,Medium
ML Engineer,IT,Senior-level,31,Full-time,2023," $2,34,100.00 ",United States,Medium
Data Architect,IT,Senior-level,46,Full-time,2024," $2,34,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,30,Full-time,2024," $2,34,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,29,Full-time,2024," $2,34,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,22,Full-time,2023," $2,34,000.00 ",United States,Medium
Data Architect,IT,Senior-level,55,Full-time,2023," $2,34,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,29,Full-time,2023," $2,34,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,25,Full-time,2023," $2,34,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,39,Full-time,2023," $2,34,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,56,Full-time,2023," $2,34,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,33,Full-time,2023," $2,34,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,45,Full-time,2023," $2,34,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,55,Full-time,2023," $2,33,500.00 ",United States,Medium
Data Manager,IT,Senior-level,59,Full-time,2023," $2,33,500.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,19,Full-time,2023," $2,33,400.00 ",United States,Medium
Data Scientist,IT,Senior-level,29,Full-time,2023," $2,33,300.00 ",United States,Medium
Data Engineer,IT,Senior-level,43,Full-time,2024," $2,33,200.00 ",United States,Medium
Data Scientist,IT,Senior-level,53,Full-time,2023," $2,33,200.00 ",United States,Medium
Data Engineer,IT,Senior-level,21,Full-time,2023," $2,33,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,42,Full-time,2023," $2,33,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,50,Full-time,2023," $2,32,989.00 ",United States,Medium
Data Engineer,IT,Senior-level,58,Full-time,2023," $2,32,960.00 ",United States,Medium
Data Engineer,IT,Senior-level,23,Full-time,2023," $2,32,760.00 ",United States,Medium
ML Engineer,IT,Senior-level,36,Full-time,2023," $2,32,200.00 ",United States,Medium
Data Scientist,IT,Senior-level,41,Full-time,2023," $2,32,200.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,61,Full-time,2023," $2,32,200.00 ",United States,Medium
Data Engineer,IT,Senior-level,63,Full-time,2023," $2,32,200.00 ",United States,Medium
Data Engineer,IT,Senior-level,57,Full-time,2023," $2,32,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,43,Full-time,2023," $2,31,650.00 ",United States,Medium
Data Engineer,IT,Senior-level,25,Full-time,2023," $2,31,500.00 ",United States,Medium
Data Engineer,IT,Senior-level,39,Full-time,2023," $2,31,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,34,Full-time,2023," $2,31,250.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,19,Full-time,2023," $2,31,250.00 ",United States,Medium
Data Science Manager,IT,Senior-level,30,Full-time,2023," $2,31,250.00 ",United States,Medium
Data Engineer,IT,Senior-level,56,Full-time,2023," $2,31,250.00 ",United States,Medium
Data Engineer,IT,Senior-level,20,Full-time,2022," $2,31,250.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,41,Full-time,2022," $2,31,250.00 ",United States,Medium
Data Engineer,IT,Senior-level,63,Full-time,2023," $2,31,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,59,Full-time,2023," $2,31,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,36,Full-time,2023," $2,31,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,31,Full-time,2023," $2,30,797.00 ",United States,Medium
Data Architect,IT,Senior-level,32,Full-time,2022," $2,30,400.00 ",United States,Medium
Data Engineer,IT,Senior-level,41,Full-time,2023," $2,30,300.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,18,Full-time,2024," $2,30,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,19,Full-time,2023," $2,30,000.00 ",United States,Medium
Data Science,IT,Senior-level,54,Full-time,2023," $2,30,000.00 ",United States,Medium
Research Analyst,IT,Senior-level,49,Full-time,2023," $2,30,000.00 ",United States,Medium
Prompt Engineer,IT,Senior-level,22,Full-time,2023," $2,30,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,56,Full-time,2023," $2,30,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,28,Full-time,2023," $2,30,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,53,Full-time,2023," $2,30,000.00 ",United States,Medium
Data Lead,IT,Executive-level,37,Full-time,2023," $2,30,000.00 ",United States,Medium
AI Developer,IT,Senior-level,48,Full-time,2023," $2,30,000.00 ",United States,Medium
Applied Scientist,IT,Senior-level,34,Full-time,2023," $2,30,000.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,64,Full-time,2023," $2,30,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,61,Full-time,2023," $2,30,000.00 ",United States,Medium
Data Scientist,IT,Mid-level,18,Full-time,2023," $2,30,000.00 ",United States,Medium
Data Analyst,IT,Senior-level,29,Full-time,2023," $2,30,000.00 ",United States,Medium
Head of Data Science,IT,Executive-level,55,Full-time,2023," $2,30,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,23,Full-time,2023," $2,30,000.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,40,Full-time,2023," $2,30,000.00 ",United States,Medium
Research Engineer,IT,Mid-level,31,Full-time,2023," $2,30,000.00 ",United States,Medium
Machine Learning Scientist,IT,Mid-level,29,Full-time,2023," $2,30,000.00 ",United States,Medium
Data Analyst,IT,Senior-level,62,Full-time,2023," $2,30,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,24,Full-time,2023," $2,30,000.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,50,Full-time,2023," $2,30,000.00 ",United Kingdom,Medium
Data Scientist,IT,Senior-level,23,Full-time,2023," $2,30,000.00 ",Canada,Medium
Applied Scientist,IT,Senior-level,24,Full-time,2022," $2,30,000.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,65,Full-time,2022," $2,30,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,47,Full-time,2022," $2,30,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,40,Full-time,2022," $2,30,000.00 ",United States,Large
Data Scientist,IT,Senior-level,33,Full-time,2022," $2,30,000.00 ",United States,Medium
Head of Data,IT,Executive-level,26,Full-time,2021," $2,30,000.00 ",Russia,Large
Data Engineer,IT,Senior-level,48,Full-time,2022," $2,29,998.00 ",United States,Large
Machine Learning Engineer,IT,Senior-level,51,Full-time,2024," $2,29,000.00 ",United States,Medium
Data Analyst,IT,Mid-level,57,Full-time,2023," $2,29,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,31,Full-time,2023," $2,29,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,31,Full-time,2023," $2,29,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,46,Full-time,2023," $2,28,856.00 ",United States,Medium
Data Scientist,IT,Executive-level,20,Full-time,2023," $2,28,856.00 ",United Kingdom,Medium
Machine Learning Engineer,IT,Senior-level,28,Full-time,2023," $2,28,830.00 ",United States,Medium
Data Scientist,IT,Senior-level,27,Full-time,2023," $2,28,045.00 ",United States,Medium
Data Scientist,IT,Senior-level,30,Full-time,2023," $2,28,000.00 ",United States,Medium
Data Architect,IT,Senior-level,59,Full-time,2023," $2,28,000.00 ",United States,Medium
AI Engineer,IT,Senior-level,64,Full-time,2023," $2,27,850.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,37,Full-time,2023," $2,27,700.00 ",United States,Medium
Applied Scientist,IT,Senior-level,51,Full-time,2023," $2,27,700.00 ",United States,Medium
Data Engineer,IT,Senior-level,49,Full-time,2023," $2,27,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,40,Full-time,2023," $2,27,240.00 ",United States,Medium
Data Product Manager,IT,Senior-level,18,Full-time,2024," $2,27,200.00 ",United States,Medium
Machine Learning Software Engineer,IT,Senior-level,53,Full-time,2022," $2,27,200.00 ",Canada,Medium
Data Scientist,IT,Senior-level,29,Full-time,2023," $2,27,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,18,Full-time,2023," $2,27,000.00 ",United States,Medium
Data Analyst,IT,Senior-level,56,Full-time,2023," $2,27,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,36,Full-time,2023," $2,26,700.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,21,Full-time,2023," $2,26,700.00 ",Canada,Medium
Machine Learning Engineer,IT,Senior-level,40,Full-time,2023," $2,26,600.00 ",United States,Medium
Data Scientist,IT,Senior-level,37,Full-time,2023," $2,26,600.00 ",United States,Medium
Data Engineer,IT,Senior-level,54,Full-time,2023," $2,26,600.00 ",United States,Medium
Head of Data,IT,Senior-level,34,Full-time,2023," $2,26,500.00 ",United States,Medium
Data Scientist,IT,Senior-level,27,Full-time,2023," $2,26,000.00 ",United States,Medium
ML Engineer,IT,Senior-level,62,Full-time,2023," $2,26,000.00 ",United States,Medium
Data Science Lead,IT,Senior-level,53,Full-time,2023," $2,25,900.00 ",United States,Medium
Data Engineer,IT,Senior-level,43,Full-time,2023," $2,25,500.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,29,Full-time,2023," $2,25,300.00 ",United States,Medium
Data Engineer,IT,Senior-level,65,Full-time,2023," $2,25,300.00 ",United States,Medium
Data Scientist,IT,Mid-level,33,Full-time,2023," $2,25,300.00 ",United States,Medium
Machine Learning Engineer,IT,Mid-level,40,Full-time,2023," $2,25,300.00 ",United States,Medium
Data Scientist,IT,Senior-level,20,Full-time,2023," $2,25,100.00 ",United States,Medium
Director of Data Science,IT,Executive-level,18,Full-time,2024," $2,25,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,24,Full-time,2024," $2,25,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,65,Full-time,2024," $2,25,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,33,Full-time,2024," $2,25,000.00 ",Canada,Medium
Business Intelligence Engineer,IT,Senior-level,42,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,33,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,19,Full-time,2023," $2,25,000.00 ",United States,Medium
Research Scientist,IT,Senior-level,52,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Engineer,IT,Executive-level,39,Full-time,2023," $2,25,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,50,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,55,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,35,Full-time,2023," $2,25,000.00 ",United States,Medium
AI Engineer,IT,Mid-level,31,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Science Lead,IT,Mid-level,35,Full-time,2023," $2,25,000.00 ",United States,Medium
Research Engineer,IT,Senior-level,35,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Scientist,IT,Executive-level,62,Full-time,2023," $2,25,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,30,Full-time,2023," $2,25,000.00 ",United States,Medium
Director of Data Science,IT,Executive-level,58,Full-time,2023," $2,25,000.00 ",United States,Medium
Applied Machine Learning Engineer,IT,Executive-level,41,Full-time,2023," $2,25,000.00 ",United States,Medium
Data Lead,IT,Senior-level,48,Full-time,2023," $2,25,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,50,Full-time,2023," $2,25,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,58,Full-time,2023," $2,25,000.00 ",France,Medium
Research Engineer,IT,Senior-level,38,Full-time,2023," $2,25,000.00 ",France,Medium
Data Scientist,IT,Senior-level,26,Full-time,2022," $2,25,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,31,Full-time,2022," $2,25,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,22,Full-time,2022," $2,25,000.00 ",United States,Medium
Data Architect,IT,Senior-level,64,Full-time,2022," $2,25,000.00 ",United States,Medium
Data Scientist,IT,Mid-level,24,Full-time,2022," $2,25,000.00 ",United States,Medium
Machine Learning Scientist,IT,Entry-level,25,Full-time,2021," $2,25,000.00 ",United States,Large
Machine Learning Scientist,IT,Senior-level,55,Full-time,2021," $2,25,000.00 ",Canada,Large
Machine Learning Engineer,IT,Senior-level,52,Full-time,2023," $2,24,880.00 ",United States,Medium
Data Scientist,IT,Senior-level,22,Full-time,2023," $2,24,800.00 ",United States,Medium
Data Engineer,IT,Senior-level,43,Full-time,2023," $2,24,500.00 ",United States,Medium
Machine Learning Researcher,IT,Mid-level,25,Full-time,2023," $2,24,400.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,59,Full-time,2023," $2,24,400.00 ",United States,Medium
Data Scientist,IT,Senior-level,58,Full-time,2023," $2,24,250.00 ",United States,Medium
Data Scientist,IT,Mid-level,39,Full-time,2024," $2,24,000.00 ",Canada,Medium
Data Science Manager,IT,Senior-level,64,Full-time,2023," $2,24,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,55,Full-time,2023," $2,24,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,51,Full-time,2023," $2,24,000.00 ",Canada,Medium
Head of Data Science,IT,Executive-level,24,Full-time,2022," $2,24,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,63,Full-time,2023," $2,23,800.00 ",United States,Medium
Data Analyst,IT,Senior-level,59,Full-time,2023," $2,23,602.00 ",United States,Medium
Data Science,IT,Mid-level,36,Full-time,2023," $2,23,600.00 ",United States,Large
Machine Learning Engineer,IT,Senior-level,41,Full-time,2023," $2,23,600.00 ",United States,Large
Data Scientist,IT,Senior-level,34,Full-time,2023," $2,23,400.00 ",United States,Medium
Data Scientist,IT,Senior-level,42,Full-time,2023," $2,23,290.00 ",United States,Medium
Data Engineer,IT,Senior-level,34,Full-time,2023," $2,23,250.00 ",United States,Medium
Data Analyst,IT,Senior-level,58,Full-time,2023," $2,23,100.00 ",United States,Large
Machine Learning Engineer,IT,Mid-level,21,Full-time,2024," $2,23,000.00 ",United States,Medium
AI Engineer,IT,Senior-level,43,Full-time,2023," $2,23,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,40,Full-time,2023," $2,22,800.00 ",United States,Medium
Data Scientist,IT,Senior-level,46,Full-time,2023," $2,22,750.00 ",United States,Medium
Data Science Manager,IT,Executive-level,48,Full-time,2022," $2,22,640.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,30,Full-time,2023," $2,22,405.00 ",United States,Medium
Applied Scientist,IT,Mid-level,33,Full-time,2024," $2,22,200.00 ",United States,Large
Applied Scientist,IT,Mid-level,65,Full-time,2023," $2,22,200.00 ",United States,Large
Applied Scientist,IT,Senior-level,39,Full-time,2023," $2,22,200.00 ",United States,Large
Data Architect,IT,Senior-level,21,Full-time,2023," $2,22,000.00 ",United States,Medium
Data Architect,IT,Senior-level,20,Full-time,2023," $2,22,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,62,Full-time,2023," $2,22,000.00 ",United States,Medium
Data Lead,IT,Executive-level,54,Full-time,2023," $2,22,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,24,Full-time,2023," $2,22,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,35,Full-time,2023," $2,22,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,29,Full-time,2023," $2,22,000.00 ",United States,Medium
Machine Learning Scientist,IT,Senior-level,51,Full-time,2023," $2,22,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,42,Full-time,2023," $2,22,000.00 ",United States,Medium
Data Architect,IT,Senior-level,47,Full-time,2023," $2,21,800.00 ",United States,Medium
Data Engineer,IT,Senior-level,37,Full-time,2023," $2,21,484.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,33,Full-time,2023," $2,21,300.00 ",United States,Medium
Analytics Engineer,IT,Senior-level,37,Full-time,2023," $2,21,300.00 ",United States,Medium
Data Specialist,IT,Senior-level,65,Full-time,2022," $2,21,300.00 ",United States,Large
Machine Learning Engineer,IT,Senior-level,57,Full-time,2024," $2,21,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,41,Full-time,2024," $2,21,000.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,36,Full-time,2023," $2,21,000.00 ",United States,Medium
Machine Learning Infrastructure Engineer,IT,Senior-level,64,Full-time,2023," $2,21,000.00 ",United States,Medium
Analytics Engineer,IT,Executive-level,55,Full-time,2023," $2,21,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,45,Full-time,2023," $2,21,000.00 ",United States,Medium
Data Engineer,IT,Senior-level,27,Full-time,2022," $2,20,110.00 ",United States,Medium
Data Engineer,IT,Senior-level,46,Full-time,2022," $2,20,110.00 ",United States,Medium
Machine Learning Engineer,IT,Senior-level,24,Full-time,2024," $2,20,000.00 ",United States,Medium
Data Scientist,IT,Senior-level,21,Full-time,2024," $2,20,000.00 ",United States,Medium
Data Analyst,IT,Senior-level,30,Full-time,2024," $2,20,000.00 ",United States,Medium
Data Scientist,IT,Mid-level,63,Full-time,2023," $2,20,000.00 ",United States,Medium
